state,bill_id,bill_url,title,status,date_of_last_action,author,topics,summary,history,year
Alabama,AL H    515,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H515&ciq=urn:user:PA196471263&client_md=5a00756b2938ab269937959626b8b4e8&mode=current_text,Artificial Intelligence,Failed - Adjourned - House Insurance Committee,4/3/2025,Shirey (R),"Health Use, Private Sector Use","Relates to artificial intelligence, regulate use in health coverage decisions.","04/03/2025 - INTRODUCED.
04/03/2025 - To HOUSE Committee on INSURANCE.",2025
Alabama,AL H    516,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H516&ciq=urn:user:PA196471263&client_md=fd3811daf64406f099a06c20a9fbb4c7&mode=current_text,Consumer Protection,Failed - Adjourned - House Commerce and Small Business Committee,4/3/2025,Chestnut (D),"Notification, Private Sector Use","Relates to consumer protection, use of a computer to interact with a consumer when consumer believes the interaction is with a human is an unlawful trade practice.","04/03/2025 - INTRODUCED.
04/03/2025 - To HOUSE Committee on COMMERCE AND SMALL BUSINESS.",2025
Alabama,AL H    557,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H557&ciq=urn:user:PA196471263&client_md=8d6eb53004336330bc5100363f6adc21&mode=current_text,Health Insurance,Failed - Adjourned - House Insurance Committee,4/9/2025,Datcher (D),"Health Use, Private Sector Use","Relates to health benefit plans, processes further specified for making coverage determinations with enforcement and oversight given to the Department of Insurance.","04/09/2025 - INTRODUCED.
04/09/2025 - To HOUSE Committee on INSURANCE.",2025
Alaska,AK S    2,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AK2025000S2&ciq=urn:user:PA196471263&client_md=9caebbbd988e680651a3ae6f3ae50e78&mode=current_text,Deepfake Disclosure,Pending - Carryover - Senate State Affairs Committee,1/21/2025,Hughes (R),"Criminal Use, Elections, Government Use, Impact Assessment, Notification","Relates to the disclosure of election related deepfakes, relates to use of artificial intelligence by State agencies, relates to the transfer of data about individuals between State agencies.","01/10/2025 - PREFILED.
01/21/2025 - INTRODUCED.
01/22/2025 - To SENATE Committee on STATE AFFAIRS.
01/22/2025 - Additionally referred to SENATE Committee on JUDICIARY.",2025
Alaska,AK HCR  3,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AK2025000HCR3&ciq=urn:user:PA196471263&client_md=690b11f6b311446aebe70310bbaad5ce&mode=current_text,AI Legislative Task Force,Pending - Carryover - House Finance Committee,2/26/2025,Rauscher (R),"Education/Training, Energy, Government Use, Effect on Labor/Employment, Private Sector Use, Studies",Establishes the Joint Legislative Task Force on Artificial Intelligence.,"02/26/2025 - INTRODUCED.
02/26/2025 - To HOUSE Committee on COMMUNITY AND REGIONAL AFFAIRS.
02/26/2025 - Additionally referred to HOUSE Committee on STATE AFFAIRS.
04/11/2025 - From HOUSE Committee on COMMUNITY AND REGIONAL AFFAIRS:  Do pass with substitute.
04/11/2025 - To SENATE Committee on STATE AFFAIRS.
04/11/2025 - STATE AFFAIRS Committee referral waived.
04/11/2025 - To HOUSE Committee on FINANCE.",2025
Alaska,AK S    33,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AK2025000S33&ciq=urn:user:PA196471263&client_md=461195d214c9d468a42e61f44a2abd41&mode=current_text,Synthetic Media Liability,Pending - Carryover - Senate State Affairs Committee,1/21/2025,Cronk (R),"Elections, Provenance","Relates to defamation claims based on the use of synthetic media, relates to the use of synthetic media in electioneering communications.","01/10/2025 - PREFILED.
01/21/2025 - INTRODUCED.
01/22/2025 - To SENATE Committee on STATE AFFAIRS.
01/22/2025 - Additionally referred to SENATE Committee on JUDICIARY.",2025
Alaska,AK H    53,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AK2025000H53&ciq=urn:user:PA196471263&client_md=85d6cb4fd70e224ce2270392723fa40b&mode=current_text,Appropriations for Operating and Loan Program,Enacted - Act No.  2025-10,08/02/2025 - Enacted,Rules Cmt,"Appropriations, Government Use","Makes appropriations for the operating and loan program expenses of state government and for certain programs, capitalizes funds, amends appropriations, makes supplemental appropriations.","01/22/2025 - INTRODUCED.
01/22/2025 - To HOUSE Committee on FINANCE.
04/10/2025 - To HOUSE Committee on RULES.
04/10/2025 - From HOUSE Committee on RULES:  Placed on calendar.
04/11/2025 - From HOUSE Committee on FINANCE:  Do pass with substitute.
04/11/2025 - To HOUSE Committee on RULES.
04/11/2025 - From HOUSE Committee on RULES:  Placed on calendar.
04/11/2025 - FINANCE Committee substitute adopted on HOUSE floor.
04/11/2025 - Amended on HOUSE floor.
04/14/2025 - Amended on HOUSE floor.
04/15/2025 - Amended on HOUSE floor.
04/16/2025 - Passed HOUSE.  *****To SENATE.
04/23/2025 - To SENATE Committee on FINANCE.
05/05/2025 - From SENATE Committee on FINANCE:  Do pass with substitute.
05/05/2025 - To SENATE Committee on RULES.
05/05/2025 - From SENATE Committee on RULES:  Placed on calendar.
05/05/2025 - FINANCE Committee substitute adopted on SENATE floor.
05/07/2025 - Amended on SENATE floor.
05/08/2025 - Passed SENATE.  *****To HOUSE for concurrence.
05/09/2025 - HOUSE refused to concur in SENATE amendment.
05/12/2025 - SENATE refuses to recede from amendments.
05/12/2025 - *****To CONFERENCE Committee.
05/14/2025 - *****To Free CONFERENCE Committee.
05/20/2025 - Free CONFERENCE Committee Report adopted by SENATE.
05/20/2025 - Free CONFERENCE Committee Report adopted by HOUSE.
05/20/2025 - Eligible for GOVERNOR'S desk.
05/27/2025 - *****To GOVERNOR.
06/12/2025 - Line Item Vetoed by GOVERNOR.
08/02/2025 - Line Item Veto overridden by HOUSE.
08/02/2025 - Line Item Veto overridden by SENATE.
08/02/2025 - Chapter No. 2025-10",2025
Alaska,AK S    64,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AK2025000S64&ciq=urn:user:PA196471263&client_md=409664ef07da1fbcc4c7535b0dedb35b&mode=current_text,Elections,Pending - Carryover - HOUSE,5/12/2025,Rules Cmt,Elections,"Relates to elections, relates to voters, relates to voting, relates to voter registration, relates to election administration, relates to the Alaska Public Offices Commission, relates to campaign contributions, relates to the crimes of unlawful interference with voting in the first degree, unlawful interference with an election, and election official misconduct, relates to synthetic media in electioneering communications, relates to campaign signs, relates to voter registration on permanent fund dividend.","01/24/2025 - INTRODUCED.
01/24/2025 - To SENATE Committee on STATE AFFAIRS.
01/24/2025 - Additionally referred to SENATE Committee on FINANCE.
03/28/2025 - From SENATE Committee on STATE AFFAIRS:  Do pass with substitute.
03/28/2025 - To SENATE Committee on FINANCE.
05/09/2025 - From SENATE Committee on FINANCE:  Do pass with substitute.
05/09/2025 - To SENATE Committee on RULES.
05/09/2025 - From SENATE Committee on RULES:  Placed on calendar.
05/09/2025 - FINANCE Committee substitute adopted on SENATE floor.
05/12/2025 - Amended on SENATE floor.
05/12/2025 - Passed SENATE.  *****To HOUSE.
05/13/2025 - To HOUSE Committee on FINANCE.
05/19/2025 - To HOUSE Committee on RULES.
05/19/2025 - From HOUSE Committee on RULES:  Placed on calendar.
05/20/2025 - To HOUSE Committee on RULES.
05/20/2025 - From HOUSE Committee on RULES:  Placed on calendar.",2025
Arizona,AZ S    1140,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2025000S1140&ciq=urn:user:PA196471263&client_md=864a0bf1da27e339d312eadf817be506&mode=current_text,Telehealth Program and Homeless and Recovery Services,Failed - Adjourned - Senate Health and Human Services Committee,1/16/2025,Miranda (D),"Appropriations, Government Use, Health Use","Relates to telehealth program, relates to homeless, relates to recovery services.","01/16/2025 - INTRODUCED.
01/22/2025 - To SENATE Committee on HEALTH AND HUMAN SERVICES.
01/22/2025 - Additionally referred to SENATE Committee on APPROPRIATIONS.
01/22/2025 - Additionally referred to SENATE Committee on RULES.",2025
Arizona,AZ S    1279,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2025000S1279&ciq=urn:user:PA196471263&client_md=3a28fc4383aed4030e770000778dc358&mode=current_text,Sheriffs Criminal Justice Commission,Failed - Senate Third Reading,2/27/2025,Finchem (R),Government Use,"Establishes the Sheriffs Criminal Justice Commission, provides for membership, provides that the commission shall, among other things, monitor the progress and implementation of new and continuing criminal justice legislation and prepare a biennial criminal justice system review report, provides for the State Aid for Juvenile Dependency Proceedings Fund, provides for the Law Enforcement Crime Victim Notification Fund, provides for appropriations.","01/23/2025 - INTRODUCED.
01/27/2025 - To SENATE Committee on RULES.
02/17/2025 - Additionally referred to SENATE Committee on JUDICIARY AND ELECTIONS.
02/19/2025 - From SENATE Committee on JUDICIARY AND ELECTIONS:  Do pass with amendment. Strike Everything.
02/24/2025 - From SENATE Committee on RULES:  Do pass proper for consideration.
02/27/2025 - To SENATE Committee of the WHOLE.
02/27/2025 - In SENATE Committee of the WHOLE.  JUDICIARY AND ELECTIONS Committee amendment adopted.
02/27/2025 - In SENATE Committee of the WHOLE.  Amended.
02/27/2025 - From SENATE Committee of the WHOLE.  To third reading.
02/28/2025 - SENATE Engrossed. Printed.
03/06/2025 - In SENATE.  Read third time.  Failed to pass SENATE.
03/06/2025 - Motion to reconsider.  Reconsideration granted.
03/17/2025 - In SENATE.  Read third time.  Failed to pass SENATE.",2025
Arizona,AZ S    1295,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2025000S1295&ciq=urn:user:PA196471263&client_md=f591a12a7d421721586d821369b43b05&mode=current_text,Fraudulent Voice Recordings,Enacted - Act No.  184,05/13/2025 - Enacted,Kavanagh (R),,"Relates to forgery, provides that a person commits criminal impersonation by using a computer generated voice recording, image or video of another person with the intent to defraud other persons or with the intent to harass other persons, provides that criminal impersonation is a class 5 or 6 felony.","01/27/2025 - INTRODUCED.
01/28/2025 - To SENATE Committee on JUDICIARY AND ELECTIONS.
01/28/2025 - Additionally referred to SENATE Committee on RULES.
02/05/2025 - From SENATE Committee on JUDICIARY AND ELECTIONS:  Do pass with amendment.
02/10/2025 - From SENATE Committee on RULES:  Do pass proper for consideration.
02/25/2025 - To SENATE Committee of the WHOLE.
02/25/2025 - In SENATE Committee of the WHOLE.  JUDICIARY AND ELECTIONS Committee amendment adopted.
02/25/2025 - From SENATE Committee of the WHOLE.  To third reading.
02/25/2025 - SENATE Engrossed. Printed.
02/26/2025 - In SENATE.  Read third time.  Passed SENATE.  *****To HOUSE.
03/10/2025 - To HOUSE Committee on JUDICIARY.
03/10/2025 - Additionally referred to HOUSE Committee on RULES.
03/19/2025 - From HOUSE Committee on JUDICIARY:  Do pass.
04/01/2025 - From HOUSE Committee on RULES:  Do pass constitutional and in proper form.
04/01/2025 - Withdrawn from HOUSE Consent Calendar.
04/01/2025 - Placed on HOUSE Consent Calendar.
04/09/2025 - To HOUSE Committee of the WHOLE.
04/09/2025 - From HOUSE Committee of the WHOLE.  To third reading.
04/14/2025 - To HOUSE Committee of the WHOLE.
04/14/2025 - In HOUSE Committee of the WHOLE.  Amended.
04/14/2025 - From HOUSE Committee of the WHOLE.  To third reading.
04/14/2025 - HOUSE Engrossed. Printed.
05/05/2025 - In HOUSE.  Read third time.  Passed HOUSE.  *****To SENATE for concurrence.
05/07/2025 - SENATE concurred in HOUSE amendments.
05/07/2025 - In SENATE. Finally passed.
05/07/2025 - *****To GOVERNOR.
05/13/2025 - Signed by GOVERNOR.
05/13/2025 - Chapter No. 184",2025
Arizona,AZ H    2175,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2025000H2175&ciq=urn:user:PA196471263&client_md=c054440eddf689731b3d8af45f2507b5&mode=current_text,Claims and Prior Authorization,Enacted - Act No.  165,05/12/2025 - Enacted,Willoughby (R),"Health Use, Private Sector Use","Provides that before a health care insurer may deny a claim that was submitted by a provider on the basis of medical necessity, the medical director shall individually review the denial, provides that during each individual review, the medical director shall exercise independent medical judgment and may not rely solely on recommendations from any other source, provides for the review of denials of prior authorizations.","01/14/2025 - INTRODUCED.
01/28/2025 - To HOUSE Committee on COMMERCE.
01/28/2025 - Additionally referred to HOUSE Committee on RULES.
02/04/2025 - From HOUSE Committee on COMMERCE:  Do pass with amendment.
02/10/2025 - From HOUSE Committee on RULES:  Do pass constitutional and in proper form.
02/17/2025 - To HOUSE Committee of the WHOLE.
02/17/2025 - In HOUSE Committee of the WHOLE.  COMMERCE Committee amendment substituted.
02/17/2025 - In HOUSE Committee of the WHOLE.  Floor Amendment substituted.
02/17/2025 - From HOUSE Committee of the WHOLE.  To third reading.
02/17/2025 - HOUSE Engrossed. Printed.
02/20/2025 - In HOUSE.  Read third time.  Passed HOUSE.  *****To SENATE.
02/25/2025 - To SENATE Committee on FINANCE.
02/25/2025 - Additionally referred to SENATE Committee on RULES.
03/17/2025 - From SENATE Committee on FINANCE:  Do pass with amendment. Strike Everything.
03/24/2025 - Held in SENATE Committee on RULES.
03/31/2025 - From SENATE Committee on RULES:  Do pass proper for consideration.
04/17/2025 - To SENATE Committee of the WHOLE.
04/17/2025 - In SENATE Committee of the WHOLE.  FINANCE Committee amendment adopted.
04/17/2025 - In SENATE Committee of the WHOLE.  Amended.
04/17/2025 - From SENATE Committee of the WHOLE.  To third reading.
04/17/2025 - SENATE Engrossed. Printed.
04/29/2025 - In SENATE.  Read third time.  Passed SENATE. *****To HOUSE for concurrence.
05/06/2025 - HOUSE concurred in SENATE amendments.
05/06/2025 - In HOUSE. Finally passed.
05/06/2025 - *****To GOVERNOR.
05/12/2025 - Signed by GOVERNOR.
05/12/2025 - Chapter No. 165",2025
Arizona,AZ H    2342,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2025000H2342&ciq=urn:user:PA196471263&client_md=e247bfe64b4c0d5261c4d4457485716a&mode=current_text,Blockchain Technology,Enacted - Act No.  81,04/18/2025 - Enacted,Martinez (R),"Government Use, Oversight/Governance, Private Sector Use","Relates to blockchain technology, provides that a city or town may not prohibit or otherwise restrict an individual from lawfully accessing or using computational power or running a node on blockchain technology in a residence, provides that a county may not prohibit or otherwise restrict an individual from lawfully accessing or using computational power or running a node on blockchain technology in a residence.","01/16/2025 - INTRODUCED.
01/21/2025 - To HOUSE Committee on COMMERCE.
01/21/2025 - Additionally referred to HOUSE Committee on RULES.
02/18/2025 - From HOUSE Committee on COMMERCE:  Do pass with amendment. Strike Everything.
02/24/2025 - From HOUSE Committee on RULES:  Do pass constitutional and in proper form.
02/27/2025 - To HOUSE Committee of the WHOLE.
02/27/2025 - In HOUSE Committee of the WHOLE.  COMMERCE Committee amendment adopted.
02/27/2025 - From HOUSE Committee of the WHOLE.  To third reading.
02/27/2025 - HOUSE Engrossed. Printed.
03/03/2025 - In HOUSE.  Read third time.  Passed HOUSE.  *****To SENATE.
03/10/2025 - To SENATE Committee on REGULATORY AFFAIRS AND GOVERNMENT EFFICIENCY.
03/10/2025 - Additionally referred to SENATE Committee on RULES.
03/19/2025 - From SENATE Committee on REGULATORY AFFAIRS AND GOVERNMENT EFFICIENCY:  Do pass.
03/24/2025 - From SENATE Committee on RULES:  Do pass proper for consideration.
03/24/2025 - Withdrawn from SENATE Consent Calendar.
04/10/2025 - In SENATE.  Read third time.  Passed SENATE.
04/14/2025 - *****To GOVERNOR.
04/18/2025 - Signed by GOVERNOR.
04/18/2025 - Chapter No. 81",2025
Arizona,AZ H    2678,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2025000H2678&ciq=urn:user:PA196471263&client_md=1f78d052a195e26876bb89c8f7c7c060&mode=current_text,Dangerous Crimes Against Children,Enacted - Act No.  174,05/12/2025 - Enacted,Willoughby (R),"Child Pornography, Criminal Use","Relates to the sexual exploitation of children, provides that a dangerous crime against children shall include a visual depiction that is indistinguishable from an actual minor that is under the specified age, provides that a visual depiction includes each visual image that is contained in, among other things, a photograph or data, regardless of whether the image is created or modified by software, artificial intelligence or other digital editing tools, and that is capable of conversion into a visual image.","01/22/2025 - INTRODUCED.
01/27/2025 - To HOUSE Committee on JUDICIARY.
01/27/2025 - Additionally referred to HOUSE Committee on RULES.
02/12/2025 - From HOUSE Committee on JUDICIARY:  Do pass with amendment.
02/12/2025 - From HOUSE Committee on JUDICIARY:  Do pass.
02/17/2025 - From HOUSE Committee on RULES:  Do pass constitutional and in proper form.
02/17/2025 - Withdrawn from HOUSE Consent Calendar.
02/20/2025 - In HOUSE.  Read third time.  Passed HOUSE.  *****To SENATE.
02/20/2025 - HOUSE Engrossed. Printed.
02/27/2025 - To SENATE Committee on JUDICIARY AND ELECTIONS.
02/27/2025 - Additionally referred to SENATE Committee on RULES.
03/05/2025 - From SENATE Committee on JUDICIARY AND ELECTIONS:  Do pass.
03/17/2025 - From SENATE Committee on RULES:  Do pass proper for consideration.
03/17/2025 - Withdrawn from SENATE Consent Calendar.
03/17/2025 - Placed on SENATE Consent Calendar.
03/31/2025 - To SENATE Committee of the WHOLE.
03/31/2025 - In SENATE Committee of the WHOLE.  Amended.
03/31/2025 - From SENATE Committee of the WHOLE.  To third reading.
03/31/2025 - SENATE Engrossed. Printed.
04/30/2025 - In SENATE.  Read third time.  Passed SENATE. *****To HOUSE for concurrence.
05/06/2025 - HOUSE concurred in SENATE amendments.
05/06/2025 - In HOUSE. Finally passed.
05/06/2025 - *****To GOVERNOR.
05/12/2025 - Signed by GOVERNOR.
05/12/2025 - Chapter No. 174",2025
Arizona,AZ H    2712,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2025000H2712&ciq=urn:user:PA196471263&client_md=fb5135581fabaa953f9d23127672b940&mode=current_text,Indistinguishable and Visual Depiction,Failed - Adjourned - HOUSE,1/30/2025,Blackman (R),"Child Pornography, Criminal Use","Relates to indistinguishable, relates to visual depiction, relates to minor, relates to definition.","01/30/2025 - INTRODUCED.
02/10/2025 - To HOUSE Committee on JUDICIARY.
02/10/2025 - Additionally referred to HOUSE Committee on RULES.
02/19/2025 - From HOUSE Committee on JUDICIARY:  Do pass.
02/24/2025 - From HOUSE Committee on RULES:  Do pass constitutional and in proper form.
02/24/2025 - Withdrawn from HOUSE Consent Calendar.
02/25/2025 - HOUSE Engrossed. Printed.",2025
Arizona,AZ H    2830,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2025000H2830&ciq=urn:user:PA196471263&client_md=8499623809e141e7a2a79535c2ef28c1&mode=current_text,Attorney General and Deed Fraud Registry,Failed - Adjourned - House Government Committee,2/10/2025,Contreras P (D),"Criminal Use, Housing, Studies","Relates to attorney general, relates to deed fraud registry.","02/10/2025 - INTRODUCED.
02/11/2025 - To HOUSE Committee on GOVERNMENT.
02/11/2025 - Additionally referred to HOUSE Committee on RULES.",2025
Arizona,AZ H    2847,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2025000H2847&ciq=urn:user:PA196471263&client_md=70f28e1f4662d99a9a67f73d0a6fa15f&mode=current_text,Rental Price Fixing and Algorithmic Pricing,Failed - Adjourned - House Commerce Committee,2/10/2025,De Los Santos (D),"Housing, Private Sector Use","Relates to rental price fixing, relates to algorithmic pricing.","02/10/2025 - INTRODUCED.
02/12/2025 - To HOUSE Committee on COMMERCE.
02/12/2025 - Additionally referred to HOUSE Committee on RULES.",2025
Arkansas,AR S    258,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AR2025000S258&ciq=urn:user:PA196471263&client_md=b4f359e2cf01b67bc298df4e24bf21ca&mode=current_text,Digital Responsibility Safety and Trust,Failed - Died,4/7/2025,Penzo (R),Private Sector Use,"Creates the Arkansas Digital Responsibility, Safety, and Trust Act, protects Arkansans privacy rights, enforces the rights against those who collect, use, retain, and share their personal information, and establishes the legislative framework for responsible, safe, and trustworthy technology in State.","02/19/2025 - INTRODUCED.
02/19/2025 - To SENATE Committee on TRANSPORTATION, TECHNOLOGY AND LEGISLATIVE AFFAIRS.
02/27/2025 - Withdrawn from SENATE Committee on TRANSPORTATION, TECHNOLOGY AND LEGISLATIVE AFFAIRS.
02/27/2025 - Amended on SENATE floor.
02/27/2025 - Rereferred to SENATE Committee on TRANSPORTATION, TECHNOLOGY AND LEGISLATIVE AFFAIRS.
03/13/2025 - Withdrawn from SENATE Committee on TRANSPORTATION, TECHNOLOGY AND LEGISLATIVE AFFAIRS.
03/13/2025 - Amended on SENATE floor.
03/13/2025 - Rereferred to SENATE Committee on TRANSPORTATION, TECHNOLOGY AND LEGISLATIVE AFFAIRS.
04/02/2025 - From SENATE Committee on TRANSPORTATION, TECHNOLOGY AND LEGISLATIVE AFFAIRS:  Do pass as amended.
04/07/2025 - Committee amendment adopted on SENATE floor.
04/08/2025 - Failed to pass SENATE.
04/08/2025 - The vote by which __ failed was expunged.
04/10/2025 - Failed to pass SENATE.
05/05/2025 - Died on Senate Calendar at Sine Die adjournment.",2025
