Year,Geographic area,Gender,AI talent concentration
2016,Costa Rica,Male,0.25%
2017,Costa Rica,Female,0.15%
2017,Costa Rica,Male,0.31%
2018,Costa Rica,Female,0.19%
2018,Costa Rica,Male,0.40%
2019,Costa Rica,Female,0.24%
2019,Costa Rica,Male,0.48%
2020,Costa Rica,Female,0.29%
2020,Costa Rica,Male,0.54%
2021,Costa Rica,Female,0.35%
2021,Costa Rica,Male,0.64%
2022,Costa Rica,Female,0.40%
2022,Costa Rica,Male,0.72%
2023,Costa Rica,Female,0.44%
2023,Costa Rica,Male,0.77%
2024,Costa Rica,Female,0.45%
2024,Costa Rica,Male,0.85%
2016,Croatia,Female,0.15%
2016,Croatia,Male,0.29%
2017,Croatia,Female,0.18%
2017,Croatia,Male,0.34%
2018,Croatia,Female,0.20%
2018,Croatia,Male,0.42%
2019,Croatia,Female,0.26%
2019,Croatia,Male,0.49%
2020,Croatia,Female,0.29%
2020,Croatia,Male,0.57%
2021,Croatia,Female,0.35%
2021,Croatia,Male,0.67%
2022,Croatia,Female,0.41%
2022,Croatia,Male,0.76%
2023,Croatia,Female,0.45%
2023,Croatia,Male,0.81%
2024,Croatia,Female,0.46%
2024,Croatia,Male,0.83%
2016,Cyprus,Female,0.20%
2016,Cyprus,Male,0.37%
2017,Cyprus,Female,0.23%
2017,Cyprus,Male,0.44%
2018,Cyprus,Female,0.26%
2018,Cyprus,Male,0.52%
2019,Cyprus,Female,0.27%
2019,Cyprus,Male,0.63%
2020,Cyprus,Female,0.32%
2020,Cyprus,Male,0.75%
2021,Cyprus,Female,0.37%
2021,Cyprus,Male,0.86%
2022,Cyprus,Female,0.49%
2022,Cyprus,Male,1.10%
2023,Cyprus,Female,0.58%
2023,Cyprus,Male,1.19%
2024,Cyprus,Female,0.59%
2024,Cyprus,Male,1.27%
2016,Czech Republic,Female,0.20%
2016,Czech Republic,Male,0.60%
2017,Czech Republic,Female,0.23%
2017,Czech Republic,Male,0.69%
2018,Czech Republic,Female,0.26%
2018,Czech Republic,Male,0.78%
2019,Czech Republic,Female,0.30%
2019,Czech Republic,Male,0.86%
2020,Czech Republic,Female,0.34%
2020,Czech Republic,Male,0.93%
2021,Czech Republic,Female,0.39%
2021,Czech Republic,Male,1.01%
2022,Czech Republic,Female,0.44%
2022,Czech Republic,Male,1.07%
2023,Czech Republic,Female,0.46%
2023,Czech Republic,Male,1.14%
2024,Czech Republic,Female,0.47%
2024,Czech Republic,Male,1.14%
2016,Denmark,Female,0.14%
2016,Denmark,Male,0.38%
2017,Denmark,Female,0.16%
2017,Denmark,Male,0.45%
2018,Denmark,Female,0.18%
2018,Denmark,Male,0.53%
2019,Denmark,Female,0.22%
2019,Denmark,Male,0.62%
2020,Denmark,Female,0.25%
2020,Denmark,Male,0.71%
2021,Denmark,Female,0.30%
2021,Denmark,Male,0.80%
2022,Denmark,Female,0.34%
2022,Denmark,Male,0.89%
2023,Denmark,Female,0.39%
2023,Denmark,Male,0.98%
2024,Denmark,Female,0.44%
2024,Denmark,Male,1.07%
2016,Estonia,Female,0.24%
2016,Estonia,Male,0.56%
2017,Estonia,Female,0.27%
2017,Estonia,Male,0.75%
2018,Estonia,Female,0.36%
2018,Estonia,Male,0.89%
2019,Estonia,Female,0.47%
2019,Estonia,Male,1.07%
2020,Estonia,Female,0.55%
2020,Estonia,Male,1.27%
2021,Estonia,Female,0.67%
2021,Estonia,Male,1.50%
2022,Estonia,Female,0.74%
2022,Estonia,Male,1.62%
2023,Estonia,Female,0.77%
2023,Estonia,Male,1.69%
2024,Estonia,Female,0.81%
2024,Estonia,Male,1.69%
2016,Finland,Female,0.39%
2016,Finland,Male,0.85%
2017,Finland,Female,0.43%
2017,Finland,Male,0.97%
2018,Finland,Female,0.47%
2018,Finland,Male,1.08%
2019,Finland,Female,0.52%
2019,Finland,Male,1.22%
2020,Finland,Female,0.58%
2020,Finland,Male,1.35%
2021,Finland,Female,0.63%
2021,Finland,Male,1.48%
2022,Finland,Female,0.68%
2022,Finland,Male,1.56%
2023,Finland,Female,0.72%
2023,Finland,Male,1.64%
2024,Finland,Female,0.75%
2024,Finland,Male,1.72%
2016,France,Female,0.37%
2016,France,Male,0.69%
2017,France,Female,0.39%
2017,France,Male,0.73%
2018,France,Female,0.41%
2018,France,Male,0.80%
2019,France,Female,0.45%
2019,France,Male,0.87%
2020,France,Female,0.47%
2020,France,Male,0.93%
2021,France,Female,0.50%
2021,France,Male,0.99%
2022,France,Female,0.52%
2022,France,Male,1.04%
2023,France,Female,0.53%
2023,France,Male,1.07%
2024,France,Female,0.53%
2024,France,Male,1.07%
2016,Germany,Female,0.25%
2016,Germany,Male,0.57%
2017,Germany,Female,0.28%
2017,Germany,Male,0.64%
2018,Germany,Female,0.33%
2018,Germany,Male,0.74%
2019,Germany,Female,0.40%
2019,Germany,Male,0.89%
2020,Germany,Female,0.46%
2020,Germany,Male,1.00%
2021,Germany,Female,0.53%
2021,Germany,Male,1.12%
2022,Germany,Female,0.58%
2022,Germany,Male,1.23%
2023,Germany,Female,0.63%
2023,Germany,Male,1.32%
2024,Germany,Female,0.65%
2024,Germany,Male,1.38%
2016,Greece,Female,0.21%
2016,Greece,Male,0.57%
2017,Greece,Female,0.24%
2017,Greece,Male,0.65%
2018,Greece,Female,0.29%
2018,Greece,Male,0.73%
2019,Greece,Female,0.33%
2019,Greece,Male,0.86%
2020,Greece,Female,0.39%
2020,Greece,Male,0.98%
2021,Greece,Female,0.44%
2021,Greece,Male,1.08%
2022,Greece,Female,0.50%
2022,Greece,Male,1.17%
2023,Greece,Female,0.57%
2023,Greece,Male,1.29%
2024,Greece,Female,0.62%
2024,Greece,Male,1.38%
2016,Hong Kong,Female,0.19%
2016,Hong Kong,Male,0.42%
2017,Hong Kong,Female,0.21%
2017,Hong Kong,Male,0.48%
2018,Hong Kong,Female,0.25%
2018,Hong Kong,Male,0.57%
2019,Hong Kong,Female,0.29%
2019,Hong Kong,Male,0.67%
2020,Hong Kong,Female,0.32%
2020,Hong Kong,Male,0.73%
2021,Hong Kong,Female,0.38%
2021,Hong Kong,Male,0.82%
2022,Hong Kong,Female,0.41%
2022,Hong Kong,Male,0.88%
2023,Hong Kong,Female,0.46%
2023,Hong Kong,Male,0.97%
2024,Hong Kong,Female,0.52%
2024,Hong Kong,Male,1.05%
2016,India,Female,0.26%
2016,India,Male,0.26%
2017,India,Female,0.31%
2017,India,Male,0.31%
2018,India,Female,0.38%
2018,India,Male,0.38%
2019,India,Female,0.47%
2019,India,Male,0.46%
2020,India,Female,0.56%
2020,India,Male,0.55%
2021,India,Female,0.66%
2021,India,Male,0.64%
2022,India,Female,0.72%
2022,India,Male,0.70%
2023,India,Female,0.81%
2023,India,Male,0.80%
2024,India,Female,0.92%
2024,India,Male,0.89%
2016,Ireland,Female,0.29%
2016,Ireland,Male,0.61%
2017,Ireland,Female,0.34%
2017,Ireland,Male,0.68%
2018,Ireland,Female,0.40%
2018,Ireland,Male,0.80%
2019,Ireland,Female,0.46%
2019,Ireland,Male,0.92%
2020,Ireland,Female,0.52%
2020,Ireland,Male,1.02%
2021,Ireland,Female,0.57%
2021,Ireland,Male,1.13%
2022,Ireland,Female,0.64%
2022,Ireland,Male,1.20%
2023,Ireland,Female,0.70%
2023,Ireland,Male,1.31%
2024,Ireland,Female,0.75%
2024,Ireland,Male,1.40%
2016,Israel,Female,0.61%
2016,Israel,Male,1.26%
2017,Israel,Female,0.72%
2017,Israel,Male,1.47%
2018,Israel,Female,0.84%
2018,Israel,Male,1.70%
2019,Israel,Female,0.99%
2019,Israel,Male,1.94%
2020,Israel,Female,1.14%
2020,Israel,Male,2.19%
2021,Israel,Female,1.31%
2021,Israel,Male,2.45%
2022,Israel,Female,1.47%
2022,Israel,Male,2.66%
2023,Israel,Female,1.56%
2023,Israel,Male,2.80%
2024,Israel,Female,1.60%
2024,Israel,Male,2.88%
2016,Italy,Female,0.14%
2016,Italy,Male,0.22%
2017,Italy,Female,0.15%
2017,Italy,Male,0.25%
2018,Italy,Female,0.17%
2018,Italy,Male,0.29%
2019,Italy,Female,0.20%
2019,Italy,Male,0.34%
2020,Italy,Female,0.22%
2020,Italy,Male,0.38%
2021,Italy,Female,0.24%
2021,Italy,Male,0.43%
2022,Italy,Female,0.26%
2022,Italy,Male,0.47%
2023,Italy,Female,0.28%
2023,Italy,Male,0.52%
2024,Italy,Female,0.29%
2024,Italy,Male,0.55%
2016,Latvia,Female,0.18%
2016,Latvia,Male,0.36%
2017,Latvia,Female,0.23%
2017,Latvia,Male,0.44%
2018,Latvia,Female,0.26%
2018,Latvia,Male,0.53%
2019,Latvia,Female,0.29%
2019,Latvia,Male,0.61%
2020,Latvia,Female,0.30%
2020,Latvia,Male,0.66%
2021,Latvia,Female,0.37%
2021,Latvia,Male,0.79%
2022,Latvia,Female,0.41%
2022,Latvia,Male,0.87%
2023,Latvia,Female,0.43%
2023,Latvia,Male,0.94%
2024,Latvia,Female,0.46%
2024,Latvia,Male,0.95%
2016,Lithuania,Female,0.25%
2016,Lithuania,Male,0.61%
2017,Lithuania,Female,0.30%
2017,Lithuania,Male,0.71%
2018,Lithuania,Female,0.36%
2018,Lithuania,Male,0.84%
2019,Lithuania,Female,0.44%
2019,Lithuania,Male,0.98%
2020,Lithuania,Female,0.51%
2020,Lithuania,Male,1.12%
2021,Lithuania,Female,0.60%
2021,Lithuania,Male,1.28%
2022,Lithuania,Female,0.68%
2022,Lithuania,Male,1.40%
2023,Lithuania,Female,0.70%
2023,Lithuania,Male,1.44%
2024,Lithuania,Female,0.74%
2024,Lithuania,Male,1.47%
2016,Luxembourg,Female,0.45%
2016,Luxembourg,Male,0.85%
2017,Luxembourg,Female,0.47%
2017,Luxembourg,Male,0.94%
2018,Luxembourg,Female,0.54%
2018,Luxembourg,Male,1.03%
2019,Luxembourg,Female,0.59%
2019,Luxembourg,Male,1.15%
2020,Luxembourg,Female,0.64%
2020,Luxembourg,Male,1.31%
2021,Luxembourg,Female,0.75%
2021,Luxembourg,Male,1.44%
2022,Luxembourg,Female,0.81%
2022,Luxembourg,Male,1.58%
2023,Luxembourg,Female,0.89%
2023,Luxembourg,Male,1.73%
2024,Luxembourg,Female,0.96%
2024,Luxembourg,Male,1.86%
2016,Mexico,Female,0.08%
2016,Mexico,Male,0.16%
2017,Mexico,Female,0.09%
2017,Mexico,Male,0.18%
2018,Mexico,Female,0.10%
2018,Mexico,Male,0.21%
2019,Mexico,Female,0.12%
2019,Mexico,Male,0.24%
2020,Mexico,Female,0.13%
2020,Mexico,Male,0.27%
2021,Mexico,Female,0.14%
2021,Mexico,Male,0.30%
2022,Mexico,Female,0.16%
2022,Mexico,Male,0.34%
2023,Mexico,Female,0.17%
2023,Mexico,Male,0.37%
2024,Mexico,Female,0.18%
2024,Mexico,Male,0.39%
2016,Netherlands,Female,0.38%
2016,Netherlands,Male,0.75%
2017,Netherlands,Female,0.42%
2017,Netherlands,Male,0.83%
2018,Netherlands,Female,0.47%
2018,Netherlands,Male,0.93%
2019,Netherlands,Female,0.52%
2019,Netherlands,Male,1.03%
2020,Netherlands,Female,0.56%
2020,Netherlands,Male,1.12%
2021,Netherlands,Female,0.63%
2021,Netherlands,Male,1.22%
2022,Netherlands,Female,0.68%
2022,Netherlands,Male,1.30%
2023,Netherlands,Female,0.71%
2023,Netherlands,Male,1.36%
2024,Netherlands,Female,0.72%
2024,Netherlands,Male,1.38%
2016,New Zealand,Female,0.21%
2016,New Zealand,Male,0.41%
2017,New Zealand,Female,0.24%
2017,New Zealand,Male,0.45%
2018,New Zealand,Female,0.26%
2018,New Zealand,Male,0.51%
2019,New Zealand,Female,0.30%
2019,New Zealand,Male,0.58%
2020,New Zealand,Female,0.33%
2020,New Zealand,Male,0.64%
2021,New Zealand,Female,0.37%
2021,New Zealand,Male,0.70%
2022,New Zealand,Female,0.41%
2022,New Zealand,Male,0.76%
2023,New Zealand,Female,0.44%
2023,New Zealand,Male,0.79%
2024,New Zealand,Female,0.46%
2024,New Zealand,Male,0.81%
2016,Norway,Female,0.18%
2016,Norway,Male,0.33%
2017,Norway,Female,0.19%
2017,Norway,Male,0.38%
2018,Norway,Female,0.22%
2018,Norway,Male,0.44%
2019,Norway,Female,0.26%
2019,Norway,Male,0.53%
2020,Norway,Female,0.29%
2020,Norway,Male,0.59%
2021,Norway,Female,0.34%
2021,Norway,Male,0.68%
2022,Norway,Female,0.37%
2022,Norway,Male,0.75%
2023,Norway,Female,0.42%
2023,Norway,Male,0.81%
2024,Norway,Female,0.44%
2024,Norway,Male,0.86%
2016,Poland,Female,0.29%
2016,Poland,Male,0.61%
2017,Poland,Female,0.34%
2017,Poland,Male,0.72%
2018,Poland,Female,0.40%
2018,Poland,Male,0.86%
2019,Poland,Female,0.45%
2019,Poland,Male,0.99%
2020,Poland,Female,0.49%
2020,Poland,Male,1.09%
2021,Poland,Female,0.55%
2021,Poland,Male,1.20%
2022,Poland,Female,0.60%
2022,Poland,Male,1.29%
2023,Poland,Female,0.60%
2023,Poland,Male,1.31%
2024,Poland,Female,0.59%
2024,Poland,Male,1.30%
2016,Portugal,Female,0.11%
2016,Portugal,Male,0.26%
2017,Portugal,Female,0.13%
2017,Portugal,Male,0.31%
2018,Portugal,Female,0.16%
2018,Portugal,Male,0.38%
2019,Portugal,Female,0.19%
2019,Portugal,Male,0.45%
2020,Portugal,Female,0.22%
2020,Portugal,Male,0.52%
2021,Portugal,Female,0.25%
2021,Portugal,Male,0.61%
2022,Portugal,Female,0.29%
2022,Portugal,Male,0.70%
2023,Portugal,Female,0.33%
2023,Portugal,Male,0.80%
2024,Portugal,Female,0.36%
2024,Portugal,Male,0.88%
2016,Romania,Female,0.21%
2016,Romania,Male,0.33%
2017,Romania,Female,0.25%
2017,Romania,Male,0.39%
2018,Romania,Female,0.30%
2018,Romania,Male,0.47%
2019,Romania,Female,0.35%
2019,Romania,Male,0.53%
2020,Romania,Female,0.38%
2020,Romania,Male,0.60%
2021,Romania,Female,0.43%
2021,Romania,Male,0.67%
2022,Romania,Female,0.46%
2022,Romania,Male,0.71%
2023,Romania,Female,0.47%
2023,Romania,Male,0.73%
2024,Romania,Female,0.48%
2024,Romania,Male,0.75%
2016,Saudi Arabia,Female,0.14%
2016,Saudi Arabia,Male,0.16%
2017,Saudi Arabia,Female,0.16%
2017,Saudi Arabia,Male,0.18%
2018,Saudi Arabia,Female,0.19%
2018,Saudi Arabia,Male,0.20%
2019,Saudi Arabia,Female,0.24%
2019,Saudi Arabia,Male,0.22%
2020,Saudi Arabia,Female,0.30%
2020,Saudi Arabia,Male,0.25%
2021,Saudi Arabia,Female,0.37%
2021,Saudi Arabia,Male,0.28%
2022,Saudi Arabia,Female,0.42%
2022,Saudi Arabia,Male,0.29%
2023,Saudi Arabia,Female,0.49%
2023,Saudi Arabia,Male,0.33%
2024,Saudi Arabia,Female,0.60%
2024,Saudi Arabia,Male,0.40%
2016,Singapore,Female,0.48%
2016,Singapore,Male,0.75%
2017,Singapore,Female,0.54%
2017,Singapore,Male,0.84%
2018,Singapore,Female,0.63%
2018,Singapore,Male,0.99%
2019,Singapore,Female,0.74%
2019,Singapore,Male,1.13%
2020,Singapore,Female,0.86%
2020,Singapore,Male,1.28%
2021,Singapore,Female,0.98%
2021,Singapore,Male,1.43%
2022,Singapore,Female,1.07%
2022,Singapore,Male,1.53%
2023,Singapore,Female,1.20%
2023,Singapore,Male,1.69%
2024,Singapore,Female,1.35%
2024,Singapore,Male,1.91%
2016,South Africa,Female,0.14%
2016,South Africa,Male,0.22%
2017,South Africa,Female,0.15%
2017,South Africa,Male,0.24%
2018,South Africa,Female,0.17%
2018,South Africa,Male,0.27%
2019,South Africa,Female,0.19%
2019,South Africa,Male,0.31%
2020,South Africa,Female,0.20%
2020,South Africa,Male,0.34%
2021,South Africa,Female,0.21%
2021,South Africa,Male,0.36%
2022,South Africa,Female,0.21%
2022,South Africa,Male,0.37%
2023,South Africa,Female,0.22%
2023,South Africa,Male,0.39%
2024,South Africa,Female,0.24%
2024,South Africa,Male,0.41%
2016,Spain,Female,0.14%
2016,Spain,Male,0.32%
2017,Spain,Female,0.16%
2017,Spain,Male,0.37%
2018,Spain,Female,0.19%
2018,Spain,Male,0.44%
2019,Spain,Female,0.21%
2019,Spain,Male,0.51%
2020,Spain,Female,0.24%
2020,Spain,Male,0.57%
2021,Spain,Female,0.27%
2021,Spain,Male,0.64%
2022,Spain,Female,0.30%
2022,Spain,Male,0.71%
2023,Spain,Female,0.33%
2023,Spain,Male,0.78%
2024,Spain,Female,0.37%
2024,Spain,Male,0.86%
2016,Sweden,Female,0.34%
2016,Sweden,Male,0.71%
2017,Sweden,Female,0.36%
2017,Sweden,Male,0.77%
2018,Sweden,Female,0.38%
2018,Sweden,Male,0.85%
2019,Sweden,Female,0.42%
2019,Sweden,Male,0.92%
2020,Sweden,Female,0.45%
2020,Sweden,Male,0.99%
2021,Sweden,Female,0.50%
2021,Sweden,Male,1.07%
2022,Sweden,Female,0.53%
2022,Sweden,Male,1.13%
2023,Sweden,Female,0.56%
2023,Sweden,Male,1.18%
2024,Sweden,Female,0.58%
2024,Sweden,Male,1.22%
2016,Switzerland,Female,0.34%
2016,Switzerland,Male,0.74%
2017,Switzerland,Female,0.36%
2017,Switzerland,Male,0.80%
2018,Switzerland,Female,0.39%
2018,Switzerland,Male,0.89%
2019,Switzerland,Female,0.44%
2019,Switzerland,Male,1.01%
2020,Switzerland,Female,0.50%
2020,Switzerland,Male,1.14%
2021,Switzerland,Female,0.55%
2021,Switzerland,Male,1.25%
2022,Switzerland,Female,0.60%
2022,Switzerland,Male,1.35%
2023,Switzerland,Female,0.64%
2023,Switzerland,Male,1.45%
2024,Switzerland,Female,0.70%
2024,Switzerland,Male,1.55%
2016,Turkey,Female,0.11%
2016,Turkey,Male,0.14%
2017,Turkey,Female,0.13%
2017,Turkey,Male,0.16%
2018,Turkey,Female,0.15%
2018,Turkey,Male,0.20%
2019,Turkey,Female,0.18%
2019,Turkey,Male,0.23%
2020,Turkey,Female,0.21%
2020,Turkey,Male,0.28%
2021,Turkey,Female,0.25%
2021,Turkey,Male,0.32%
2022,Turkey,Female,0.29%
2022,Turkey,Male,0.37%
2023,Turkey,Female,0.31%
2023,Turkey,Male,0.40%
2024,Turkey,Female,0.33%
2024,Turkey,Male,0.42%
2016,United Arab Emirates,Female,0.20%
2016,United Arab Emirates,Male,0.22%
2017,United Arab Emirates,Female,0.22%
2017,United Arab Emirates,Male,0.24%
2018,United Arab Emirates,Female,0.25%
2018,United Arab Emirates,Male,0.26%
2019,United Arab Emirates,Female,0.27%
2019,United Arab Emirates,Male,0.29%
2020,United Arab Emirates,Female,0.31%
2020,United Arab Emirates,Male,0.34%
2021,United Arab Emirates,Female,0.35%
2021,United Arab Emirates,Male,0.38%
2022,United Arab Emirates,Female,0.39%
2022,United Arab Emirates,Male,0.42%
2023,United Arab Emirates,Female,0.46%
2023,United Arab Emirates,Male,0.50%
2024,United Arab Emirates,Female,0.55%
2024,United Arab Emirates,Male,0.59%
2016,United Kingdom,Female,0.25%
2016,United Kingdom,Male,0.54%
2017,United Kingdom,Female,0.28%
2017,United Kingdom,Male,0.59%
2018,United Kingdom,Female,0.31%
2018,United Kingdom,Male,0.66%
2019,United Kingdom,Female,0.35%
2019,United Kingdom,Male,0.73%
2020,United Kingdom,Female,0.38%
2020,United Kingdom,Male,0.79%
2021,United Kingdom,Female,0.43%
2021,United Kingdom,Male,0.87%
2022,United Kingdom,Female,0.48%
2022,United Kingdom,Male,0.95%
2023,United Kingdom,Female,0.53%
2023,United Kingdom,Male,1.03%
2024,United Kingdom,Female,0.56%
2024,United Kingdom,Male,1.08%
2016,United States,Female,0.23%
2016,United States,Male,0.44%
2017,United States,Female,0.25%
2017,United States,Male,0.50%
2018,United States,Female,0.28%
2018,United States,Male,0.56%
2019,United States,Female,0.32%
2019,United States,Male,0.63%
2020,United States,Female,0.35%
2020,United States,Male,0.69%
2021,United States,Female,0.39%
2021,United States,Male,0.76%
2022,United States,Female,0.43%
2022,United States,Male,0.82%
2023,United States,Female,0.47%
2023,United States,Male,0.90%
2024,United States,Female,0.51%
2024,United States,Male,0.99%
2016,Uruguay,Female,0.06%
2016,Uruguay,Male,0.16%
2017,Uruguay,Female,0.07%
2017,Uruguay,Male,0.19%
2018,Uruguay,Female,0.08%
2018,Uruguay,Male,0.23%
2019,Uruguay,Female,0.09%
2019,Uruguay,Male,0.27%
2020,Uruguay,Female,0.10%
2020,Uruguay,Male,0.30%
2021,Uruguay,Female,0.11%
2021,Uruguay,Male,0.34%
2022,Uruguay,Female,0.13%
2022,Uruguay,Male,0.39%
2023,Uruguay,Female,0.15%
2023,Uruguay,Male,0.41%
2024,Uruguay,Female,0.15%
2024,Uruguay,Male,0.45%
