Date,country,"Net AI talent migration per 10,000 LinkedIn members"
1/1/24,United Arab Emirates*,4.13
1/1/22,United Arab Emirates*,2.75
1/1/19,United Arab Emirates*,-0.17
1/1/20,United Arab Emirates*,0.47
1/1/21,United Arab Emirates*,1.37
1/1/24,United Kingdom,0.55
1/1/23,United Kingdom,1.14
1/1/22,United Kingdom,1.68
1/1/20,United Kingdom,0.14
1/1/19,United Kingdom,0.01
1/1/21,United Kingdom,0.87
1/1/23,United States,0.99
1/1/19,United States,0.44
1/1/20,United States,0.08
1/1/21,United States,0.63
1/1/22,United States,0.86
1/1/24,United States,1.07
1/1/23,Uruguay,-0.31
1/1/19,Uruguay,0.09
1/1/20,Uruguay,0.00
1/1/21,Uruguay,-0.15
1/1/22,Uruguay,0.18
1/1/24,Uruguay,-0.05
